"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
1,0,1985-11-12,NA,NA,201810,156380
2,150000,2000-03-29,NA,NA,591710,449470
3,781398,2009-08-28,781398,2009-08-28,513870,349580
4,863000,2020-05-04,NA,NA,687750,504560
5,269000,2009-06-30,269000,2009-06-30,45080,6650
6,2095000,2024-08-05,NA,NA,1267000,604380
7,303050,2019-05-13,NA,NA,317800,213710
9,202400,1997-06-30,NA,NA,281330,181580
10,450000,2020-05-01,NA,NA,417060,312900
11,123700,1998-10-02,NA,NA,217840,153020
13,650000,2025-04-01,NA,NA,285320,195090
14,366500,2018-08-16,NA,NA,325220,191170
15,273000,1997-08-28,NA,NA,343840,248850
16,290000,2008-01-04,NA,NA,5600,3920
17,0,1947-03-21,NA,NA,5180,3640
18,0,2023-06-30,NA,NA,6720,5250
19,0,2024-09-12,NA,NA,180530,108080
20,3e+05,2025-07-03,NA,NA,241500,150430
21,48000,2018-10-15,NA,NA,221410,168350
22,115000,2014-11-13,NA,NA,148330,91000
23,285000,2022-05-31,NA,NA,296730,177450
24,290000,2025-02-25,NA,NA,190260,113190
25,0,2003-12-31,NA,NA,197610,119000
26,60000,1996-10-18,NA,NA,177800,119070
27,35000,1998-10-15,NA,NA,81410,24710
28,31000,1998-11-24,NA,NA,66990,18200
29,87000,2023-03-20,NA,NA,66010,17920
30,1,2002-05-02,NA,NA,66010,17920
31,32000,2003-05-30,NA,NA,65240,17710
32,1e+05,2024-02-21,NA,NA,66010,16520
33,40500,2004-06-16,NA,NA,66990,18200
34,34000,2013-04-29,NA,NA,81410,24710
35,0,1989-04-12,NA,NA,81410,24710
36,78000,2021-06-28,81000,2009-08-19,81410,41160
37,110000,2024-02-01,NA,NA,71540,30310
38,80000,2005-10-13,NA,NA,66990,30310
39,65000,2008-09-10,NA,NA,66010,29890
40,96000,2023-03-31,NA,NA,65240,29540
41,70000,2008-01-18,NA,NA,66010,29890
42,46000,2019-12-30,NA,NA,66990,30310
43,64000,2017-12-08,NA,NA,81410,41160
44,124500,2025-06-16,NA,NA,81410,41160
45,1e+05,2023-12-26,NA,NA,66990,30310
46,20000,2002-07-12,NA,NA,66990,30310
47,45000,1993-12-28,NA,NA,86030,43470
48,0,1984-05-29,NA,NA,66990,30310
49,75000,2025-03-24,NA,NA,66990,30310
50,0,2016-06-08,NA,NA,66990,30310
51,105000,2023-04-06,NA,NA,81410,41160
52,62000,2019-10-08,NA,NA,81410,41160
53,1e+05,2024-03-06,NA,NA,66990,30310
54,83500,2021-12-15,NA,NA,66990,30310
55,0,1995-12-13,NA,NA,66010,29890
56,87000,2022-02-28,NA,NA,85470,43190
57,80000,2021-08-20,NA,NA,66990,30310
58,41000,2018-02-28,NA,NA,66990,30310
59,58000,2013-08-26,NA,NA,81410,41160
60,56000,2017-05-04,NA,NA,81410,41160
61,1e+05,2023-12-26,NA,NA,66990,30310
62,65000,2021-10-26,NA,NA,66010,29890
63,25500,2016-07-01,NA,NA,86030,43470
64,75190,2005-08-18,NA,NA,66990,30310
65,37800,2013-04-16,NA,NA,66010,29890
66,86000,2023-03-03,NA,NA,66990,30310
67,0,2022-05-16,NA,NA,81410,41160
68,70000,2014-06-24,75000,2009-06-24,81410,41160
69,1e+05,2023-12-14,NA,NA,66990,30310
70,16000,2000-12-18,NA,NA,66990,30310
71,1e+05,2023-12-26,NA,NA,66010,29890
72,64000,2018-08-02,NA,NA,85470,43190
73,27780,1997-09-19,NA,NA,66990,30310
74,40000,2017-08-30,NA,NA,66990,30310
75,94500,2007-05-09,NA,NA,81410,41160
76,30000,2001-07-11,NA,NA,80220,40530
77,73000,2009-06-01,73000,2009-06-01,66990,30310
78,78500,2023-03-03,NA,NA,66990,30310
79,51504,2014-03-28,NA,NA,87290,44100
80,128000,2025-08-12,NA,NA,66990,30310
81,91500,2007-06-25,NA,NA,66990,30310
82,79900,2005-11-07,NA,NA,66990,30310
83,79500,2009-12-01,79500,2009-12-01,81410,41160
84,215000,2020-11-25,NA,NA,212310,140140
