"pid","sale_price","sale_date","total_2024","total_2023","building_2024","building_2023","extra_2024","extra_2023","outb_2024","outb_2023","land_2024","land_2023"
1,0,1985-11-12,201810,156380,122220,75740,1540,1050,0,0,78050,79590
2,150000,2000-03-29,591710,449470,433440,356720,3990,3080,0,0,154280,89670
3,781398,2009-08-28,513870,349580,357350,257390,2660,1820,5600,4200,148260,86170
4,863000,2020-05-04,687750,504560,488460,369600,7280,4900,50120,47600,141890,82460
5,269000,2009-06-30,45080,6650,29610,0,490,0,0,0,14980,6650
6,2095000,2024-08-05,1267000,604380,900200,489370,129220,5810,25200,10500,212380,98700
7,303050,2019-05-13,317800,213710,248850,171780,2100,1470,9380,7070,57470,33390
9,202400,1997-06-30,281330,181580,208810,130690,2660,1820,0,0,69860,49070
10,450000,2020-05-01,417060,312900,327390,249480,2730,1960,7350,5530,79590,55930
11,123700,1998-10-02,217840,153020,157920,110810,2590,1960,0,0,57330,40250
13,650000,2025-04-01,285320,195090,220710,149730,2660,1820,0,0,61950,43540
14,366500,2018-08-16,325220,191170,265230,149100,2660,1820,0,0,57330,40250
15,273000,1997-08-28,343840,248850,281400,204960,5110,3640,0,0,57330,40250
16,290000,2008-01-04,5600,3920,0,0,0,0,0,0,5600,3920
17,0,1947-03-21,5180,3640,0,0,0,0,0,0,5180,3640
18,0,2023-06-30,6720,5250,0,0,0,0,980,1260,5740,3990
19,0,2024-09-12,180530,108080,138600,78960,0,0,2520,1260,39410,27860
20,3e+05,2025-07-03,241500,150430,202090,116690,0,0,0,5880,39410,27860
21,48000,2018-10-15,221410,168350,172270,131600,0,0,11970,8890,37170,27860
22,115000,2014-11-13,148330,91000,108920,63140,0,0,0,0,39410,27860
23,285000,2022-05-31,296730,177450,252630,143150,0,3080,0,0,44100,31220
24,290000,2025-02-25,190260,113190,143570,79870,0,0,7280,5460,39410,27860
25,0,2003-12-31,197610,119000,158130,90790,0,0,700,770,38780,27440
26,60000,1996-10-18,177800,119070,134050,88130,0,0,0,0,43750,30940
27,35000,1998-10-15,81410,24710,81410,24710,0,0,0,0,0,0
28,31000,1998-11-24,66990,18200,66990,18200,0,0,0,0,0,0
29,87000,2023-03-20,66010,17920,66010,17920,0,0,0,0,0,0
30,1,2002-05-02,66010,17920,66010,17920,0,0,0,0,0,0
31,32000,2003-05-30,65240,17710,65240,17710,0,0,0,0,0,0
32,1e+05,2024-02-21,66010,16520,66010,16520,0,0,0,0,0,0
33,40500,2004-06-16,66990,18200,66990,18200,0,0,0,0,0,0
