"date","season","team1","team2","pointspread","score1","score2","location","overtime","overunder"
"2017/09/10",2017,"arizona","detroit",-2,23,35,"V",FALSE,48.5
"2017/09/17",2017,"arizona","indianapolis",-7,16,13,"V",TRUE,44
"2017/09/25",2017,"arizona","dallas",3,17,28,"H",FALSE,46.5
"2017/10/01",2017,"arizona","s. fran.",-6.5,18,15,"H",TRUE,44
"2017/10/08",2017,"arizona","philadelphia",6.5,7,34,"V",FALSE,45
"2017/10/15",2017,"arizona","tampa bay",2.5,38,33,"H",FALSE,46
"2017/10/22",2017,"arizona","la rams",3,0,33,"N",FALSE,46
"2017/11/05",2017,"arizona","san francisco",-2.5,20,10,"V",FALSE,39
"2017/11/09",2017,"arizona","seattle",6,16,22,"H",FALSE,40.5
"2017/11/19",2017,"arizona","houston",2,21,31,"V",FALSE,38.5
"2017/11/26",2017,"arizona","j'ville",5.5,27,24,"V",FALSE,38
"2017/12/03",2017,"arizona","la rams",7,16,32,"H",FALSE,43.5
"2017/12/10",2017,"arizona","tennessee",2.5,12,7,"H",FALSE,42.5
"2017/12/17",2017,"arizona","washington",4.5,15,20,"V",FALSE,40.5
"2017/12/24",2017,"arizona","ny giants",-3.5,23,0,"H",FALSE,39.5
"2017/12/31",2017,"arizona","seattle",8.5,26,24,"V",FALSE,38
"2017/09/10",2017,"atlanta ","chicago",-6.5,23,17,"V",FALSE,48.5
"2017/09/17",2017,"atlanta ","green bay",-3,34,23,"H",FALSE,54.5
"2017/09/24",2017,"atlanta ","detroit",-3,30,26,"V",FALSE,50.5
"2017/10/01",2017,"atlanta ","buffalo",-8.5,17,23,"H",FALSE,48.5
"2017/10/15",2017,"atlanta ","miami",-13.5,17,20,"H",FALSE,46
"2017/10/22",2017,"atlanta ","new england",3,7,23,"V",FALSE,56.5
"2017/10/29",2017,"atlanta ","ny jets",-6.5,25,20,"V",FALSE,44
"2017/11/05",2017,"atlanta ","carolina",-2.5,17,20,"V",FALSE,42
"2017/11/12",2017,"atlanta ","dallas",-3.5,27,7,"H",FALSE,49
"2017/11/20",2017,"atlanta ","seattle",1.5,34,31,"V",FALSE,46
"2017/11/26",2017,"atlanta ","tampa bay",-10,34,20,"H",FALSE,47.5
"2017/12/03",2017,"atlanta ","minnesota",-2.5,9,14,"H",FALSE,48
"2017/12/07",2017,"atlanta ","n. orleans",-2.5,20,17,"H",FALSE,51.5
"2017/12/18",2017,"atlanta ","tampa bay",-6.5,24,21,"V",FALSE,48.5
